Details,State,Found In CSV
Nike Soccer Camp with Beestera Soccer Training - Brunswick,new-york,Yes
Nike Soccer Camp with Beestera Soccer Training - Apex,north-carolina,Yes
Nike Soccer Camp at Charlotte Prep School,north-carolina,Yes
Nike Soccer Camp at Gaston Day School,north-carolina,Yes
Nike Soccer Camp at Greensboro Day School,north-carolina,Yes
Nike Soccer Camp at The University of Akron,ohio,Yes
Nike Soccer Camp in Blue Ash,ohio,Yes
Nike Soccer Camp at Mount St. Joseph University,ohio,Yes
Nike Soccer Camp at Wright State University,ohio,Yes
Nike Soccer Camp at Ohio Wesleyan University,ohio,Yes
SPIRE Soccer Camp - Summer Extended Training,ohio,Yes
Nike Soccer Camp at Andrews Osborne Academy,ohio,No
Nike Soccer Camp at Oklahoma Christian University,oklahoma,No
Nike Soccer Camp in Norman Oklahoma,oklahoma,Yes
Nike Soccer Camp in Oklahoma City,oklahoma,Yes
Nike Soccer Camp at Oklahoma State University,oklahoma,Yes
Nike Soccer Camp in Bend,oregon,No
Nike Soccer Camp at Oregon State University,oregon,Yes
Nike Soccer Camp in Hillsboro,oregon,Yes
Nike Soccer Camp in Lake Oswego,oregon,Yes
Nike Soccer Camp at George Fox University,oregon,Yes
Nike Soccer Camp at Portland State University,oregon,Yes
Nike Soccer Camp in Salem,oregon,Yes
Nike Soccer Camp in Bethlehem,pennsylvania,Yes
Nike Soccer Camp at Centre Square Park,pennsylvania,Yes
Nike Soccer Camp at DeSales University,pennsylvania,Yes
Nike Soccer Camp in Chester Springs,pennsylvania,Yes
Nike Soccer Camp at Sofive Elkins Park,pennsylvania,Yes
Nike Soccer Camp at Erie Sports Center,pennsylvania,Yes
Nike Soccer Camp at Gettysburg College,pennsylvania,Yes
Nike Soccer Camp with Beestera Soccer Training - Greater Chester Valley,pennsylvania,Yes
Nike Soccer Camp with Futeballer - PA Classics Soccer Park,pennsylvania,Yes
Nike Soccer Camp with Futeballer at In The Net,pennsylvania,Yes
Nike Soccer Camp in Phoenixville,pennsylvania,Yes
Nike Girls Soccer Camp at The Ellis School,pennsylvania,Yes
Nike Soccer Camp at Albright College,pennsylvania,Yes
Nike Soccer Camp with Beestera Soccer Training - Ridley Park,pennsylvania,Yes
Nike Soccer Camp with Beestera Soccer Training - Tredyffrin,pennsylvania,Yes
Nike Soccer Camp at Westtown School,pennsylvania,Yes
Nike Soccer Camp with Back Mountain Surf - Wilkes-Barre,pennsylvania,Yes
Nike Soccer Camp at Liverpool FC International Academy - St. Andrew's School,rhode-island,No
