State,City,Camp Name (JSON),Event Details (CSV),Matched
new-york,Saratoga Springs,Nike Soccer Camp with Beestera Soccer Training - Saratoga Wilton,Nike Soccer Camp with Beestera Soccer Training - Saratoga Wilton,True
new-york,Saugerties,Nike Soccer Camp with Beestera Soccer Training - Saugerties,Nike Soccer Camp with Beestera Soccer Training - Saugerties,True
new-york,Schenectady,Nike Soccer Camp with Beestera Soccer Training - Rotterdam,Nike Soccer Camp with Beestera Soccer Training - Rotterdam,True
new-york,Spencerport,Nike Soccer Camp with Beestera Soccer Training - Rochester,Nike Soccer Camp with Beestera Soccer Training - Rochester,True
new-york,Stillwater,Nike Soccer Camp with Beestera Soccer Training - Stillwater,Nike Soccer Camp with Beestera Soccer Training - Stillwater,True
new-york,Stony Brook,Nike Soccer Camp with the French Football Federation - Stony Brook School,Nike Soccer Camp with the French Football Federation - Stony Brook School,True
new-york,Troy,Nike Soccer Camp with Beestera Soccer Training - Brunswick,Nike Soccer Camp with Beestera Soccer Training - Brunswick,True
north-carolina,Apex,Nike Soccer Camp with Beestera Soccer Training - Apex,Nike Soccer Camp with Beestera Soccer Training - Apex,True
north-carolina,Charlotte,Nike Soccer Camp at Charlotte Prep School,Nike Soccer Camp at Charlotte Prep School,True
north-carolina,Gastonia,Nike Soccer Camp at Gaston Day School,Nike Soccer Camp at Gaston Day School,True
north-carolina,Greensboro,Nike Soccer Camp at Greensboro Day School,Nike Soccer Camp at Greensboro Day School,True
ohio,Akron,Nike Soccer Camp at The University of Akron,Nike Soccer Camp at The University of Akron,True
ohio,Blue Ash,Nike Soccer Camp in Blue Ash,Nike Soccer Camp in Blue Ash,True
ohio,Cincinnati,Nike Soccer Camp at Mount St. Joseph University,Nike Soccer Camp at Mount St. Joseph University,True
ohio,Dayton,Nike Soccer Camp at Wright State University,Nike Soccer Camp at Wright State University,True
ohio,Delaware,Nike Soccer Camp at Ohio Wesleyan University,Nike Soccer Camp at Ohio Wesleyan University,True
