No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
161,Nike Soccer Camp in Glassboro,39.7027677,-75.1119434,Glassboro,NEW-JERSEY,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
162,Nike Soccer Camp in Hamilton,42.1136786,-86.0501558,Hamilton Township,NEW-JERSEY,"JUN. 30 - JUL. 3, 2025",Ages: 8 - 18,Co-Ed,All Skills,Half Day Camp 9am-1pm,$319 Tuition + $30 Registration Fee
163,Nike Soccer Camp at The Peddie School,40.269559,-74.5232454,Hightstown,NEW-JERSEY,"JUL. 27 - JUL. 31, 2025",Ages: 14 - 18,Co-Ed,All Skills,Extended 9:00am-8:00pm,$500 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$785 Tuition + $40 Registration Fee
,,,,,,"JUL. 27 - JUL. 31, 2025",Ages: 7 - 14,Co-Ed,All Skills,Extended 9:00am-8:00pm,$500 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$785 Tuition + $40 Registration Fee
164,Nike Soccer Camp at Iron Peak Sports &amp; Events,27.9184543,-82.3488057,Hillsborough,NEW-JERSEY,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 15,Co-Ed,All Skills,Day 9am-3pm (Ages 7+),$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day,$309 Tuition + $30 Registration Fee
165,Nike Soccer Camp in Holmdel,40.3451095,-74.1840322,Holmdel,NEW-JERSEY,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 25 - AUG. 29, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
166,Nike Soccer Camp at Rider University,42.2003839,-86.0508356,Lawrence Township,NEW-JERSEY,"AUG. 3 - AUG. 6, 2025",Ages: 9 - 16,Co-Ed,All Skills,Extended 9:00am-8:00pm,$619 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$729 Tuition + $40 Registration Fee
168,Nike Soccer Camp at Red Bank Catholic,40.3367769,-74.0470837,Little Silver,NEW-JERSEY,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
169,Nike Boys Soccer Camp with Giuseppe Rossi Academy - Lyndhurst,40.8120247,-74.1242816,Lyndhurst,NEW-JERSEY,"JUL. 28 - AUG. 1, 2025",Ages: 12 - 18,Boys,Elite,Half Day (9:00am-12:00pm),$309 Tuition + $30 Registration Fee
170,Nike Soccer Camp Metuchen SportsPlex,40.5431598,-74.3632049,Metuchen,NEW-JERSEY,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$399 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$279 Tuition + $40 Registration Fee
171,Nike Boys Soccer Camp at Saint Joseph Regional High School,41.0467635,-74.0229173,Montvale,NEW-JERSEY,"JUN. 30 - JUL. 3, 2025",Ages: 8 - 18,Boys,All Skills,Day Camp 9am-3pm,$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$229 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 8 - 18,Boys,All Skills,Day Camp 9am-3pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
172,Nike Soccer Camp in Moorestown,39.9670569,-74.9426677,Moorestown,NEW-JERSEY,"JUN. 23 - JUN. 27, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
173,Nike Soccer Camp at Rutgers University,40.735657,-74.1723667,Newark,NEW-JERSEY,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
174,Bridges United Nike Soccer College ID Camp - Pennington School,48.0513335,-96.0829271,Pennington,NEW-JERSEY,"JUN. 18 - JUN. 21, 2025",Ages: 14 - 18,Boys,College ID,Extended 9:00am-8:30pm,$719 Tuition + $40 Registration Fee
,,,,,,,,,College ID,Overnight,$819 Tuition + $40 Registration Fee
,,,,,,,,,College ID,Day 9:00am-3:00pm,$519 Tuition + $40 Registration Fee
175,Nike Soccer Camp Total Turf Experience Complex,39.731681,-75.1300457,Pitman,NEW-JERSEY,"JUL. 7 - JUL. 10, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
176,Nike Soccer Camp at All Seasons Sports Academy,40.5792701,-74.4115401,South Plainfield,NEW-JERSEY,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
177,Nike Soccer Camp at Fairleigh Dickinson University - Teaneck,40.8860164,-74.0072568,Teaneck,NEW-JERSEY,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 16,Co-Ed,All Skills,Full Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
178,Nike Soccer Camp at Ranney School - Tinton Falls,40.2890734,-74.0927967,Tinton Falls,NEW-JERSEY,"AUG. 11 - AUG. 15, 2025",Ages: 8 - 18,Co-Ed,All Skills,Half Day Camp 9am-1pm,$399 Tuition + $30 Registration Fee
179,Nike Soccer Camp in Toms River,39.9526791,-74.1968257,Toms River,NEW-JERSEY,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
180,Nike Soccer Camp at Mercer Community College,40.2971798,-74.6206496,West Windsor Township,NEW-JERSEY,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$269 Tuition + $30 Registration Fee
181,Nike Soccer Camp with Beestera Soccer Training - Afrim's Sports Park,42.6511674,-73.754968,Albany,NEW-YORK,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$409 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$409 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$409 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$289 Tuition + $30 Registration Fee
182,Nike Soccer Camp with Beestera Soccer Training - Averill Park,42.6391711,-73.5581729,Averill Park,NEW-YORK,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
183,Nike Soccer Camp at Fordham University,40.8466508,-73.8785937,Bronx,NEW-YORK,"JUL. 21 - JUL. 24, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$469 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$329 Tuition + $30 Registration Fee
184,Nike Soccer Camp with Beestera Soccer Training at Sofive Brooklyn,40.6526006,-73.9497211,Brooklyn,NEW-YORK,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 25 - AUG. 29, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
185,Nike Soccer Camp with Beestera Soccer Training - Rip Van Winkle,30.0443879,31.2357257,Cairo,NEW-YORK,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 15,Co-Ed,"Elite, All Skills",Day 9:00am-3:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,"Elite, All Skills",Half Day 9:00am-12:00pm,$219 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 15,Co-Ed,"Elite, All Skills",Day 9:00am-3:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,"Elite, All Skills",Half Day 9:00am-12:00pm,$219 Tuition + $30 Registration Fee
187,Nike Soccer Camp with Beestera Soccer Training - East Greenbush,42.5909135,-73.7017858,East Greenbush,NEW-YORK,"AUG. 25 - AUG. 29, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
188,Nike Soccer Camp at St. Joseph's University - Long Island,40.7694775,-72.9849768,East Patchogue,NEW-YORK,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$379 Tuition + $30 Registration Fee
189,Nike Soccer Camp with UK Soccer School at Flushing Meadows Corona Park,51.4480929,3.5697992,Flushing,NEW-YORK,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$269 Tuition + $30 Registration Fee
190,Nike Soccer Camp with Beestera Soccer Training - Golden Goal,43.4143073,-73.4879808,Fort Ann,NEW-YORK,"AUG. 4 - AUG. 9, 2025",Ages: 10 - 18,Co-Ed,"Field Player, Goalkeeper",Overnight,"$1,354 Tuition + $40 Registration Fee"
,,,,,,,,,"Field Player, Goalkeeper",Extended Day (9am-9pm),$999 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day (9am-3pm),$599 Tuition + $40 Registration Fee
191,Nike Girls Soccer Camp at Adelphi University,37.9716898,-100.8726618,Garden City,NEW-YORK,"JUN. 30 - JUL. 3, 2025",Ages: 7 - 13,Girls,All Skills,Half-Day (9am-1pm),$409 Tuition + $30 Registration Fee
192,Nike Soccer Camp with Beestera Soccer Training - Bethlehem,39.0687923,-77.0446341,Glenmont,NEW-YORK,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$419 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
193,Nike Soccer Camp with Beestera Soccer Training - Glenville,43.572754,-93.2814262,glenville,NEW-YORK,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
194,Nike Soccer Camp with Beestera Soccer Training - Greenville,34.851354,-82.3984882,Greenville,NEW-YORK,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
195,Nike Soccer Camp with Beestera Soccer Training - New Paltz,41.7464972,-74.0844894,New Paltz,NEW-YORK,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
196,Nike Soccer Camp with the French Football Federation - New Rochelle,40.9115386,-73.7826363,New Rochelle,NEW-YORK,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$359 Tuition + $30 Registration Fee
197,Nike Soccer Camp with the French Football Federation - Randall's Island,40.7127281,-74.0060152,New York City,NEW-YORK,"JUN. 16 - JUN. 20, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$529 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$369 Tuition + $30 Registration Fee
198,Nike Soccer Camp with Beestera Soccer Training - Oneonta,33.9481955,-86.472938,Oneonta,NEW-YORK,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$349 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
199,Nike Soccer Camp at Pace University,41.1328736,-73.7926335,Pleasantville,NEW-YORK,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 17,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-4:00pm,$499 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$359 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 17,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-4:00pm,$499 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$359 Tuition + $30 Registration Fee
200,Nike Soccer Camp with Beestera Soccer Training - Queensbury,43.3618532,-73.6652451,Queensbury,NEW-YORK,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
201,Nike Soccer Camp with Beestera Soccer Training - Red Hook,41.9950884,-73.8755317,Red Hook,NEW-YORK,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
203,Nike Soccer Camp in Rockville Centre,40.6574186,-73.6450664,Rockville Centre,NEW-YORK,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
204,Nike Soccer Camp with Beestera Soccer Training - Saratoga Wilton,43.0821793,-73.7853915,Saratoga Springs,NEW-YORK,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$309 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$219 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
205,Nike Soccer Camp with Beestera Soccer Training - Saugerties,42.0775906,-73.9529126,Saugerties,NEW-YORK,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
,,,,,,"AUG. 18 - AUG. 22, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
206,Nike Soccer Camp with Beestera Soccer Training - Rotterdam,42.8142432,-73.9395687,Schenectady,NEW-YORK,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
207,Nike Soccer Camp with Beestera Soccer Training - Rochester,43.18645,-77.803897,Spencerport,NEW-YORK,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
208,Nike Soccer Camp with Beestera Soccer Training - Stillwater,36.1156306,-97.0585717,Stillwater,NEW-YORK,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$339 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$239 Tuition + $30 Registration Fee
209,Nike Soccer Camp with the French Football Federation - Stony Brook School,40.908482,-73.1325471,Stony Brook,NEW-YORK,"JUL. 27 - JUL. 31, 2025",Ages: 10 - 18,Co-Ed,"Field Player, Goalkeeper",Overnight,"$1,399 Tuition + $40 Registration Fee"
,,,,,,,,,"Field Player, Goalkeeper",Extended Day (9am-9pm),"$1,049 Tuition + $40 Registration Fee"
,,,,,,,,,"Field Player, Goalkeeper",Day (9am-4pm),$669 Tuition + $40 Registration Fee
210,Nike Soccer Camp with Beestera Soccer Training - Brunswick,42.7284117,-73.6917878,Troy,NEW-YORK,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 15,Co-Ed,Field Player,Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,Field Player,Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
211,Nike Soccer Camp with Beestera Soccer Training - Apex,35.7325352,-78.8505516,Apex,NORTH-CAROLINA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$389 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,"Field Player, Goalkeeper",Day (9:00am-3:00pm),$389 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day (9:00am-12:00pm),$279 Tuition + $30 Registration Fee
212,Nike Soccer Camp at Charlotte Prep School,35.2272086,-80.8430827,Charlotte,NORTH-CAROLINA,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day Camp 9am-3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 13,Co-Ed,All Skills,Day Camp 9am-3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:00pm,$299 Tuition + $30 Registration Fee
213,Nike Soccer Camp at Gaston Day School,35.2622654,-81.1838186,Gastonia,NORTH-CAROLINA,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 14,Co-Ed,All Skills,Day (9:00am-3:00pm),$369 Tuition + $30 Registration Fee
214,Nike Soccer Camp at Greensboro Day School,36.0726355,-79.7919754,Greensboro,NORTH-CAROLINA,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
215,Nike Soccer Camp at The University of Akron,41.083064,-81.518485,Akron,OHIO,"JUN. 9 - JUN. 12, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day (9am-12pm),$319 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day Camp (9am-3pm),$429 Tuition + $30 Registration Fee
216,Nike Soccer Camp in Blue Ash,39.2320073,-84.3782817,Blue Ash,OHIO,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
217,Nike Soccer Camp at Mount St. Joseph University,39.1014537,-84.5124602,Cincinnati,OHIO,"JUL. 21 - JUL. 24, 2025",Ages: 7 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 5 - 6,Co-Ed,Player Development,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
